"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
102001,"United States",0,129100,129400,129900,130100,130100,130000,130000,130000,130200,130500,131000,131600,132500,133000,133400,133700,134200,134600,135100,135500,136100,136800,137800,138800,139500,139600,139400,140300,141300,142600,143300,144200,145000,145700,146600,147500,148700,149600,150700,151600,152400,153100,154000,155000,155900,156800,157900,159100,160700,162000,163200,164200,165200,166400,167600,168900,170100,171600,173000,174400,175800,177000,178100,179000,179700,180600,181500,182600,183600,184300,184600,184800,185400,186400,187500,188600,189900,191400,193000,194400,195800,197100,198600,200000,201400,202800,204300,206000,207700,209400,210900,212600,214400,217100,219700,222400,224800,227200,229800,232400,235000,237300,239700,242000,244400,246600,248900,251400,254200,257000,259700,262600,265300,268000,270600,272900,275200,277000,278600,279800,281000,282000,282900,283600,284000,284100,284200,283900,283600,283200,282700,282500,282400,282200,281700,281000,280100,279200,278200,276900,275300,273400,271700,269600,267500,265000,262900,261000,259200,257600,256200,255000,254000,253100,252200,251400,250300,249100,247600,246200,245000,244200,243500,242900,242500,242100,241600,241100,240500,239900,239200,238500,237400,236200,234900,233800,232700,231800,230800,229700,228600,227800,227100,226500,226100,225900,225600,225300,224900,224900,225000,225300,225600,226100,226900,227900,229000,229800,230800,231700,232600,233400,234300,235700,237000,238400,239800,241700,243600,245400,247100,248800,250600,252400,254100,255700,257500,259300,260800,261900,262700,263600,264200,265000,265600,266300,266900,268000,269200,270400,271600,272600,273700,274600,275600,276500,277700,278900,280100
9,"California",1,212800,213200,213300,212800,212400,212300,212200,212400,212900,213600,214700,215700,217400,218100,218800,219000,219700,220400,221700,223300,225200,227300,229600,231900,233200,234100,235300,238200,240700,242700,244400,246200,248200,250000,251900,253500,255800,257400,259100,260700,262600,264800,267200,270000,272900,276100,279500,283300,287600,291400,295100,298500,302000,305500,309100,312700,316500,320300,324100,327900,331600,334400,336500,338000,339300,340700,342200,343600,345000,346700,349000,351400,354400,357600,361400,365300,369400,373800,378300,382700,387000,391100,395300,399300,403300,407100,410700,414400,418200,422700,428100,434100,440900,448200,455800,463800,472300,481500,491300,501700,511700,521100,529500,536900,543800,550600,556900,563600,570900,578200,585900,593100,600300,607000,613600,618900,623600,627300,629900,632100,633600,634500,634600,634400,633200,631400,628800,625700,622300,619200,616200,613900,612000,609800,607200,604000,600000,595400,590400,584900,579100,572600,565300,557100,548300,539300,531000,523100,515700,508900,503100,497800,493000,488500,484400,480000,475400,469800,464000,459100,455800,454200,453100,452500,452300,452600,452800,453000,453000,452800,452000,450600,448500,446000,443500,441500,439600,437600,435600,433400,431000,428600,426300,424000,422200,420800,419900,419700,419700,420100,420900,422200,423900,426200,429200,432800,436700,440700,444900,449200,453700,458600,464300,471300,478500,486700,495400,504400,513100,520800,527400,532800,537700,541800,545500,548800,552400,556200,560100,562700,564500,566300,567600,569600,571600,573800,576700,580900,585600,590100,594200,598300,602400,606300,610000,613900,618200,622500,627000
54,"Texas",2,,,,,,,,,,,102700,103700,104400,105100,105700,106300,106800,107300,107800,108200,108700,109100,109500,110000,110200,110600,110900,111300,111800,112200,112600,113100,113500,114100,114700,115300,116100,116800,117500,118300,119100,119900,120600,121400,121900,122300,122500,122700,122900,123300,123900,124100,124400,124700,125300,125900,126500,126900,127200,127400,127500,127800,128000,128500,128600,128900,129100,129300,129600,129900,130400,130600,130700,130700,130900,131300,131900,132300,132900,133100,133600,133900,134200,134400,134700,135100,135300,135500,135800,136000,136200,136400,136700,137500,138500,140100,141700,143500,144700,145800,146500,147400,148000,148700,149300,149900,150600,151200,151900,152500,153300,153800,154500,155000,155600,156200,156700,157200,157900,158600,159500,160100,160800,161500,162300,163000,163800,164500,165200,165800,166300,166900,167400,167900,168400,169100,169700,170100,170700,171200,171800,171600,170800,169400,168000,166700,165500,164600,164200,164400,165000,165800,166700,167700,168600,169700,170700,171500,172000,172500,172800,172900,172800,172500,172500,172700,172800,173200,173200,173400,173500,173300,173100,172200,171500,170500,169700,169000,168700,167700,167200,166800,167600,168300,168900,170200,170400,170700,170200,170400,170700,171200,171700,171800,172100,172100,172200,172100,172400,173000,173700,174100,174600,175400,176500,177700,178700,179700,180500,181100,181900,182700,183400,184000,184800,185900,186500,186800,186700,187000,187600,188500,189400,190700,192300,193600,195000,196400,198200,199800,201400,202700,204000,204900,205800,206700,207600,208600,209500
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435800,436100,437000,437400,437700,435900,433800,431300,430500,429400,428400,427300,425500,423100,419800,416300,412900,408500,404400,400100,396800,393200,389500,386400,384200,383000,382400,382000,381900,381200,380700,380000,380100,379900,379700,379800,379700,379800,379700,379300,378800,377800,377100,376200,375500,374800,373900,373200,372700,372600,372700,373000,373000,372700,372200,371400,371400,371400,371600,371800,372400,373400,374800,376300,377800,378600,379500,380300,381500,382700,384400,386500,389200,391700,394500,397100,399500,401600,404000,406300,411000,416700,422500,426300,428800,430900,432600,434900,437200,439500,441700,444200,446600,448500,450200,452400,455300,458300,460300,461500,462800,464400,466100
14,"Florida",4,119100,118900,119000,119000,119000,118900,118800,118800,118900,119100,119400,119900,120600,121000,121100,121200,121400,121700,122000,122500,123000,123600,124400,125200,126300,126800,127100,127300,127700,128100,128500,128900,129600,130300,131100,131700,132700,133400,134100,134600,135200,135900,136600,137500,138400,139100,140100,140900,142300,143600,144800,145800,146700,147600,148700,150000,151200,152500,153800,155300,156800,158100,159500,160900,162400,163700,165100,166400,168000,169500,171300,172900,174800,176300,177800,179500,181400,183700,185600,187300,188800,190700,192400,194300,196000,197900,199700,201500,203300,205200,207300,209300,211600,214000,216700,219400,222200,225300,228900,232700,236700,240800,245200,249800,254400,259100,263900,269100,274900,281200,287800,294800,301400,307900,313800,319500,324500,329000,332800,336100,339100,341400,343000,343700,343700,343000,342100,340500,338800,336900,334800,332700,330300,327400,324200,320900,317200,313600,309900,305900,301900,297700,293200,288300,283200,278100,273300,268600,264400,260600,257100,253600,250200,246900,243700,240500,237300,233900,230400,227100,224300,222000,220100,218500,217200,215900,214700,213400,212200,211200,210200,209300,208000,206600,204700,203200,201700,200400,199400,198200,197300,196400,195700,194900,194300,193700,193300,192800,192800,192700,193300,193900,195000,196200,197400,198800,200200,201500,202600,203800,205100,206500,207900,209700,211500,213500,215600,217800,220200,222400,224600,226800,229100,231200,233200,234900,236700,238800,240900,242300,243500,244700,245800,247000,248100,249200,250400,251900,253300,255200,257000,259000,260900,262700,264400,266300,268100,270000,271800
21,"Illinois",5,135300,135500,135700,135800,135800,135700,135500,135300,135400,135900,136600,137300,137900,138000,138200,138300,138400,138700,139100,139600,139900,140200,140800,141500,142200,142700,143100,143400,143800,144500,145200,146000,146800,147600,148200,149000,150100,151200,152000,152900,153700,154600,155500,156700,157900,158900,160100,161100,162300,163300,164300,165400,166200,167200,168400,169500,170700,171800,173100,174200,175500,176700,177900,178700,179700,180700,182000,183400,184700,185900,186900,187800,188800,189700,190500,191400,192300,193300,194400,195600,196800,197900,199000,200200,201500,202900,204800,206900,208800,210000,210500,210900,211500,212400,213400,214300,215400,216300,217400,218600,220500,222400,224100,225100,226400,227800,229200,230700,232300,233900,235200,236600,237900,239300,240700,242200,243700,245000,246100,247200,248300,249400,250200,250800,251200,252000,252700,253100,253100,253000,253100,253100,253000,252800,252800,252700,252200,251300,250500,249700,249000,248200,247200,246100,244800,243400,242100,240800,239800,239200,239200,239400,239700,240200,240600,241100,241600,241900,241900,241700,241200,240500,239900,239200,238400,237500,236500,235300,234300,233300,232600,231800,231000,230000,228800,227200,225500,223600,222000,220500,219300,218100,216500,215000,213800,212900,211800,210500,209400,208400,207400,206500,206100,206300,206700,207300,208000,208700,209300,209200,209000,208700,208600,208300,208100,207900,207900,207800,207100,205800,204800,205700,207600,210000,211900,213000,213000,212200,211100,210600,210500,210900,211200,211500,211200,210600,209800,209300,209200,209700,210200,210700,211000,211300,211600,211600,211400,211200,211300
47,"Pennsylvania",6,103100,103100,103000,103100,103000,102900,102800,102700,102800,102900,103200,103400,103800,103900,104100,104100,104300,104300,104500,104800,105100,105400,105900,106300,106800,107100,107500,107600,107700,107800,107900,108300,108800,109400,110100,110600,111100,111300,111500,111800,112200,112600,113000,113300,113600,113900,114400,115000,115600,116200,116600,117200,117700,118200,118700,119300,119900,120300,120800,121400,122200,123000,123600,124200,124900,125600,126300,127000,127500,128200,128900,129600,130500,131300,132200,132900,133700,134700,135800,136900,137900,139000,140000,141100,142000,143100,144200,145300,146400,147500,148800,150100,151400,152500,153600,154700,155700,156900,158100,159500,160900,162400,163700,165000,166200,167700,169000,170400,171800,173300,175000,176600,178200,179700,181200,182600,184100,185400,186600,187500,188400,189200,189900,190700,191300,191900,192300,192600,192900,193200,193400,193800,194200,194500,194800,194900,195000,194900,195000,194600,194100,193600,193200,192900,192600,192500,192300,192200,191800,191600,191400,191300,191200,191200,191200,191200,191100,190800,190300,189900,189400,189200,189000,189000,189000,189000,188700,188400,188200,188000,187800,187500,187000,186300,185500,184700,184100,183400,182800,182100,181300,180600,180000,179500,178900,178400,178200,178000,177800,177600,177500,177400,177300,177100,177000,176900,176900,177100,176900,176600,176200,176200,176200,176200,176400,176800,177300,178100,178900,179500,180300,181300,182500,183700,184900,185800,186700,187400,188100,188600,188900,189200,189300,189500,189500,189300,189100,189300,189400,189600,189800,189700,189800,190000,190600,190900,191000,191000,191200
44,"Ohio",7,106800,106800,107100,107400,107600,107900,108000,108300,108500,108800,109100,109300,109700,110100,110500,110700,111000,111400,111900,112200,112600,112900,113500,114000,114400,114700,115000,115400,115700,116100,116500,117000,117500,118100,118600,119000,119600,120200,120700,121300,121900,122400,122700,123100,123400,123800,124200,124800,125400,126000,126400,126800,127200,127600,128100,128600,128900,129200,129500,130000,130500,130900,131300,131500,131800,132100,132500,132700,133100,133400,133800,134200,134500,134900,135300,135800,136100,136400,136800,137200,137600,137900,138300,138800,139300,139700,140200,140800,141400,142000,142400,143000,143700,144400,144900,145200,145400,145700,146100,146500,146900,147200,147500,147900,148300,148700,149100,149500,149800,150200,150600,150900,151300,151600,151800,152000,152000,152100,152300,152400,152600,152600,152600,152600,152700,152700,152800,152700,152600,152300,151900,151600,151500,151300,151100,150800,150700,150500,150100,149500,148800,148100,147300,146600,145900,145300,144700,144200,144300,144900,146200,147500,148800,150200,151600,152900,154100,155400,156600,157000,156400,155100,153800,152900,152300,151600,151300,150500,149600,148500,147500,146800,146100,145500,144600,144000,143100,142200,141100,140100,139400,138900,138800,139100,139700,139900,139600,139300,139100,139100,139100,138800,138800,138900,139100,139400,139600,139900,140200,140300,140200,139900,139900,139600,139200,138800,138400,138000,137600,137700,138100,138700,139300,139900,140500,141600,142400,143100,143000,143000,143200,143200,143500,143500,143800,143900,144100,144300,144800,145300,145700,146000,146400,146700,147000,147300,147500,147700,147800
30,"Michigan",8,110400,110400,110300,110200,110000,109900,110000,110300,110600,110800,111000,111400,112100,112700,113400,114100,114900,115500,116200,116800,117500,118400,119100,119600,120200,120900,121600,122200,122700,123400,124200,124900,125500,126200,127100,128100,129100,130000,131000,132000,133100,134000,134800,135500,136200,136900,137800,138700,139900,140800,141600,142400,143000,143700,144200,144900,145500,146200,146900,147700,148500,149300,150000,150800,151600,152300,152800,153200,153700,154200,154600,155000,155300,155600,156200,156900,157600,158300,159100,159900,160600,161100,161600,162200,162700,163100,163400,163800,164300,164800,165400,166000,166600,167100,167600,167900,168300,168600,169100,169500,169900,170300,170700,171100,171500,172000,172500,172800,173300,173800,174200,174400,174500,174500,174600,174500,174400,174400,174200,174000,173600,173300,172900,172700,172200,171700,171100,170500,169900,169200,168500,167900,167300,166600,165700,164900,163800,162800,161600,160300,158900,157200,155600,153800,152200,150400,148700,146900,145400,144000,143000,141900,141000,140100,139300,138400,137400,136400,135300,134200,133200,132300,131500,130900,130300,129900,129500,129300,129100,129100,128900,128700,128300,127900,127300,126800,126100,125500,124800,124200,123900,123600,123400,122900,122600,122200,122100,122100,122200,122300,122700,123200,123600,124100,124900,125900,127100,127900,128700,129400,130400,131400,132500,133600,134700,136000,137200,138800,140400,142100,143400,144700,145700,146800,147700,148600,149100,149600,150000,150500,151000,151300,151600,151800,152100,152200,152300,152500,152700,153200,153600,154100,154400,155000,155600,156000,156300,156900,157500
16,"Georgia",9,118300,118400,118500,118600,118500,118400,118700,119000,119400,119800,120200,120700,121400,122000,122500,122900,123600,124400,125000,125500,126100,126600,127200,128000,128800,129500,130100,130600,131400,132100,133000,133900,134900,135600,136500,137300,138300,139100,140000,141100,142200,143300,144300,145100,145900,146800,147700,148500,149300,150400,151400,152400,153100,153900,154600,155400,156000,156600,157400,158300,159200,160000,160700,161400,162000,162400,162900,163400,164000,164600,165000,165400,165800,166200,166800,167300,167900,168300,168800,169300,169800,170400,171000,171400,171700,172000,172600,173100,173500,174100,174500,175000,175500,176100,176800,177600,178300,179000,179400,179900,180500,181300,182100,182900,183700,184600,185600,186700,187800,188700,189500,190400,191400,192400,193400,194500,195600,196500,197500,198300,199100,199900,200600,201500,202100,202600,203000,203500,203800,204000,203800,203700,203900,204300,204700,204800,204900,204700,204400,203800,203200,202600,201900,201100,200200,199100,198100,197100,196100,195100,194200,193300,192500,191700,191000,190200,189300,188200,187000,186000,185200,184500,183800,183200,182600,181700,181000,180300,179600,179000,178300,177400,176300,174900,173700,172500,171100,169800,168400,167200,165900,164600,163400,162300,161400,160400,159600,158900,158400,158000,157900,157800,157600,157600,157500,157600,157900,158200,158300,158300,158400,158700,159200,160000,160900,162000,163200,164700,166200,167800,169400,171000,172900,174500,176000,177200,178600,180300,181800,183100,184100,185200,186100,186900,187500,187900,188200,188900,189600,189900,190300,190700,191400,192100,192900,193900,195000,196000,197000
36,"North Carolina",10,118200,118800,119000,119300,119600,119900,120200,120300,120600,121100,121700,122300,123100,123700,124400,125200,125900,126600,127100,127900,128500,129200,129800,130500,131400,131900,132400,132900,133600,134200,135000,135600,136300,136800,137300,137900,138700,139400,140100,140600,141000,141500,141900,142300,142800,143200,143700,144200,144700,145300,145900,146700,147200,147900,148300,149000,149500,150200,150700,151400,151800,152100,152300,152600,152800,153000,153400,153600,154000,154300,154700,155000,155500,155700,156100,156500,157000,157300,157600,157900,158500,158900,159400,159700,160200,160600,161100,161700,162200,162700,163200,163800,164400,165000,165700,166400,167100,167700,168400,169100,170000,170800,171600,172600,173500,174500,175400,176400,177400,178400,179500,180600,181800,183200,184800,186300,187700,189100,190300,191600,192700,193900,194900,195900,196800,197900,199000,199900,200800,201500,202300,202900,203600,204200,204800,205500,206000,206600,206700,206600,206100,205800,205600,205500,205600,205800,206100,206100,205900,205400,204900,204600,204300,204200,203900,203700,203200,202600,202000,201400,200900,200400,200100,199800,199300,198700,198000,197500,196900,196300,195500,194600,193800,192900,192200,191400,190600,189800,189200,188500,187800,187000,186400,185900,185200,184700,184200,184000,183900,183900,183800,183600,183600,183600,183800,183900,184300,184500,184700,184800,185000,185100,185400,185700,186000,186100,186500,187200,187900,188600,189300,190000,190800,191500,192300,193000,193800,194600,195400,196000,196300,196500,196600,196700,196600,196800,196900,197300,197800,198100,198300,198600,198900,199400,199800,200400,200900,201500,202000
40,"New Jersey",11,171400,171000,170500,170000,169500,169000,168600,168300,168100,168100,168600,169300,170200,170600,170800,170900,171200,171400,171700,172000,172600,173400,174600,175900,177400,178300,178800,179100,179400,179900,180500,181500,182600,183800,185400,187000,188700,190100,191400,192700,194000,195500,197200,198800,200200,201600,203300,205100,207200,209100,211100,213100,215000,216800,218700,220700,223000,225200,227600,229800,232000,234100,236200,238300,240500,242900,245500,248000,250300,252500,254800,257300,260100,263000,266100,269200,272700,276300,279700,282900,286300,289800,293200,296600,299800,302900,306100,309400,312800,316300,319700,323200,326600,330100,333400,336700,340100,343800,347900,352300,356800,361300,366000,370600,375200,379600,383800,388100,392800,397400,402300,407000,411500,415600,419600,423200,426800,430000,432700,435000,437100,438900,440300,441200,441400,441200,440900,440000,438700,437300,435900,435000,434400,433900,433200,432300,430700,429000,427000,425100,423300,421700,419800,417700,415400,412700,410100,407400,404700,402100,399500,397100,394800,392600,390600,388600,386600,384100,381300,378800,376700,375400,374500,373600,372800,372100,371400,370700,369600,368500,367400,366500,365500,364100,362500,360800,359200,357700,356000,354100,352200,350300,348300,346400,344700,343100,341500,339700,337800,336200,334800,333500,332300,331600,331100,331100,331100,331400,331500,331300,331200,331300,331500,331900,332100,332600,333400,334400,335700,336900,338400,340200,342200,344300,346100,347800,350000,352000,355000,357100,359000,359600,360000,360200,359900,359100,358800,359300,359700,359800,359000,358300,357900,358200,359000,360100,361100,362100,363000
56,"Virginia",12,139400,139500,139800,139700,139600,139400,139400,139500,139600,139800,140100,140500,141100,141200,141200,141100,141300,141400,141700,142100,142600,143200,144000,144700,145700,145900,146100,146200,146500,147000,147500,148100,148800,149500,150400,151100,152100,152700,153200,153900,154800,155600,156300,157200,158200,159100,160300,161500,162900,164100,165300,166500,167800,169000,170200,171300,172800,174300,176000,177500,179400,181200,182700,184200,185600,187100,188600,190000,191400,192800,194300,195900,197600,199300,201000,202700,204500,206400,208200,210100,211900,213900,215800,217800,219500,221400,223100,225100,227000,229200,231700,234500,237300,240300,243400,246900,250500,254100,258200,262700,267400,272100,277000,281700,286500,291100,295700,300300,305100,310100,315200,320100,324700,328800,332400,335300,337700,339500,340400,341100,341600,342000,342000,341500,340600,339400,338300,337000,335900,335000,334400,334100,333800,333300,332500,331700,330400,328900,327200,325300,323300,321100,318800,316400,313800,311200,308800,306400,304100,302100,300500,299100,298000,296900,295900,294800,293500,291700,289800,288300,287500,287200,287000,286800,286500,286400,286100,285500,285100,284900,284900,284500,284000,283400,282600,281600,280600,279800,278900,278300,277600,277200,276800,276400,276200,275900,275800,275700,275700,276000,276300,276600,276900,277300,277700,278300,278800,279300,279500,279800,280100,280500,280900,281600,282800,284300,286300,288300,290700,292900,295200,297400,299300,301100,302900,304500,305400,305800,305900,306000,305800,305500,305100,304900,304600,304200,304000,304200,304800,305000,305200,305000,304600,304200,304100,304200,304400,304700,305000
59,"Washington",13,157600,157900,158100,158000,158000,158200,158600,159000,159600,160200,161100,162000,163000,163900,164700,165600,166600,167800,169000,170200,171200,172400,173600,174900,176100,177100,178100,179000,180100,181200,182300,183400,184400,185300,186400,187500,188800,189900,190800,191800,192800,193700,194800,196000,197500,198800,200200,201500,202800,204100,205200,206500,207400,208400,209000,209500,210000,210700,211700,212700,213600,214500,215300,216100,216800,217400,218000,219000,220000,220800,221500,222100,222900,223600,224200,224700,225300,226200,227000,228000,229000,230100,231400,232700,233700,234800,235800,236800,238000,239200,240600,241800,243400,245000,247000,249000,251200,253300,255600,258000,260500,263000,265500,268200,271100,274400,277600,280900,284600,288600,293100,297700,302200,306700,311400,315800,320100,324000,327500,330900,334300,337900,341300,344900,348200,351200,354000,356500,358600,360400,361800,363400,364900,365900,366900,367600,368100,368400,368200,367200,365600,363700,361600,359600,357500,355500,353200,351000,348300,345600,343100,340800,338800,337100,335600,333800,331800,329000,325900,322900,320600,318800,317500,316300,315300,314400,313400,312300,310900,309400,307800,306100,303900,301800,299600,297700,295700,294000,292200,290400,288200,286000,283800,281900,280200,278700,277700,277200,276900,276400,276100,276200,276600,277600,278800,280100,281400,282600,283800,285200,286700,288300,289900,291500,293300,295600,298500,301900,305600,308800,311700,313800,316000,318000,320100,321900,323600,325800,327400,328700,329700,330900,331500,332700,334000,335600,337400,339200,342400,345400,349300,352000,354800,356700,358900,360900,362800,364300,366200
26,"Massachusetts",14,172700,172500,172500,172500,172600,172600,172600,172600,172800,173700,174900,176200,177500,178500,179200,180000,180800,181600,182600,183700,185000,186800,188800,190700,192900,194500,196000,197500,199200,200800,202400,203900,205300,206700,208300,210000,212300,214600,217000,219400,221900,224300,226900,229600,232500,235400,238500,241500,244900,248000,251300,254700,258500,262000,265700,269200,272700,276200,279600,283000,286400,289900,293300,296900,300200,303700,307000,310200,313200,315800,318400,321100,324100,327000,330000,333400,336900,340500,344200,347800,351500,355100,358500,361600,364200,366500,368700,370900,373000,375300,377700,380100,382800,385500,388300,391100,394500,397700,401200,404500,407900,411200,414400,417400,420200,423000,425500,428100,430900,433400,435500,437000,437900,438700,439300,439500,439200,438500,437600,436700,435800,434900,434000,432700,430800,428700,426600,424600,422700,421200,419900,419200,418700,418200,417200,416100,414600,413200,411700,410100,408300,406500,404400,401800,398900,395800,393400,391300,389500,387800,386200,385000,384200,383600,383300,382900,382100,380700,379100,378100,378000,378800,379300,379800,380100,380100,379900,379200,378800,378500,378400,378000,377400,376500,375600,374600,373800,372900,372100,371100,370000,369000,368400,367800,367500,366900,366400,366100,366000,365900,365800,365900,366300,367300,368500,369600,370800,371800,372900,373800,374700,375800,377100,378700,380400,382500,385100,388200,391800,395500,398600,401600,404400,407300,409900,411700,413000,414200,415900,417100,417700,417700,417600,418100,418600,419100,420300,423200,426400,429600,431400,432900,434300,436100,437900,439500,441100,442400,444100
22,"Indiana",15,85800,86800,87900,88200,88300,88300,88400,88500,88700,88500,88400,87900,88300,87800,88100,89000,90800,92300,93300,94100,94900,95400,95700,96100,97100,97600,98100,98400,98500,98700,98900,99300,99600,99600,99600,99700,100300,100800,101100,101400,101700,102000,102500,102800,103200,103200,103400,103600,104300,104700,105100,105500,106000,106500,107000,107300,107800,110600,113600,116800,117700,118600,119300,120000,120400,120700,121100,121400,121600,121600,121800,121900,122200,122300,122400,122300,122200,122100,122300,122400,122700,122500,122300,122100,122300,122600,122800,123100,123500,124000,124700,125500,126400,127400,128500,129600,130400,131200,132000,133000,134000,135100,136300,137200,137900,138200,138500,138900,139600,140300,140900,141500,141800,142100,142400,142700,142800,142700,142200,141500,141000,140700,140800,141000,141200,141300,141300,141200,141400,141300,141200,141100,141200,141300,141300,141300,141400,141300,141100,141000,140900,141200,141400,141600,141700,141900,142000,141800,141300,140800,140300,139800,139300,138800,138400,138100,137700,137200,136600,136300,136000,136100,136000,135900,135500,135300,134900,134500,134300,134000,133800,133300,133000,132600,132500,132400,132400,132300,132100,131700,131200,130800,130600,130300,130000,129600,129500,129200,129300,129300,129500,129500,129500,129600,129700,130000,130400,130600,131000,131200,131600,132000,132800,134000,135300,136700,138100,139300,140200,140800,141000,141100,140800,140700,140700,141000,140500,139400,137900,137000,136500,136500,136700,137100,137500,137900,138200,138400,139000,139700,140100,140600,140900,141500,141700,142100,142300,142700,142800
8,"Arizona",16,126600,126700,126700,126900,127000,127200,127400,127900,128200,128700,129200,129700,130200,130600,131000,131400,131700,132200,132700,133400,134100,135000,135900,136700,137500,138200,139100,139800,140600,141100,141600,141800,142400,143000,143900,144700,145900,146900,147800,148500,149200,149800,150300,150900,151800,152500,153500,154600,156000,157100,158100,158800,159400,160100,160900,161800,162700,163400,164300,165300,166400,167200,167800,168400,169000,169500,170000,170700,171500,172300,173200,174100,175300,176100,176900,177600,178400,179300,180200,181300,182400,183600,184800,185900,186600,187300,188300,189300,190400,191500,192700,194000,195400,196900,198700,200500,202400,204500,206700,209400,212600,216500,221200,226100,231400,236800,242400,248600,255600,263500,271800,280400,288900,296600,303700,309300,314400,318500,322000,324700,326400,327700,328500,329100,329200,328900,328000,326800,325300,324100,322700,321400,320300,319000,317600,316200,314400,312600,310400,308000,305300,302300,298800,294800,290800,286400,282200,277700,273300,269200,265600,262200,258900,255600,252300,248800,245200,241300,237500,233900,230500,227500,224900,222700,220600,218800,217200,215800,214300,212700,210700,208500,205700,202700,199600,196800,194500,192700,191800,191500,191500,191100,190200,189300,188600,188200,188500,189200,190200,191400,193100,194800,196900,198900,201400,204000,207000,209900,212900,215600,218200,220100,221700,223300,225500,228500,231700,235000,237800,240200,240900,241600,241900,242800,242900,242900,243100,243700,244300,244500,244700,245000,245300,245900,246700,247600,248600,249300,249900,250500,251400,252400,253500,254700,256500,258400,260100,261300,262400
