"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
102001,"United States",0,130100,130300,130400,130400,130300,130200,130200,130300,130600,130900,131500,132000,132900,133300,133900,134200,134700,135100,135600,136300,137000,137700,138500,139300,140000,140100,140000,140800,142000,143300,144100,144800,145500,146300,147200,148200,149200,150100,151100,152000,152900,153600,154500,155400,156300,157200,158400,159600,160900,162100,163300,164300,165300,166300,167500,168700,169800,171200,172500,173900,175000,176300,177400,178200,178900,179600,180600,181500,182500,183300,184200,185000,186000,187100,188100,189400,190600,192100,193500,194900,196300,197700,199200,200500,201900,203200,204700,206300,207900,209400,210900,212500,214200,216000,217900,219900,222300,224600,227000,229500,232100,234800,237400,239600,242000,244400,246800,249300,251800,254400,257100,259900,262500,265000,267400,269800,271900,273700,275100,276400,277500,278500,279300,280100,280400,280600,280500,280300,280000,279700,279300,279100,279100,279100,278800,278000,277200,276100,275000,273600,272100,270400,268700,266700,264600,262100,260000,258000,256300,254900,253700,252600,251600,250900,250100,249400,248500,247400,246000,244700,243600,242700,242100,241500,241100,240800,240300,239800,239100,238700,238000,237300,236200,235100,233800,232700,231700,230600,229600,228300,227300,226300,225700,225300,224900,224800,224400,224200,223800,223700,223800,224100,224600,225100,225700,226500,227500,228300,229500,230400,231200,231800,232700,234000,235100,236400,237700,239500,241400,243100,244800,246300,248100,249800,251300,252900,254400,256200,257700,258700,259300,260100,260700,261400,261700,262200,262900,264000,265100,266200,267200,268100,269100,269800,270700,271600,272700,273800,275000
9,"California",1,220900,221300,221600,221000,220800,220600,220700,220900,221400,222200,223200,224200,226000,226700,227300,227700,228500,229400,230600,232100,233900,236000,238500,240800,241700,242300,243400,246900,249600,251700,253300,255200,257200,259000,260900,262500,265000,266700,268500,270100,272200,274300,276600,279300,282200,285500,289100,292900,297300,301300,305000,308600,312000,315600,319200,322800,326600,330400,334300,338000,341900,344900,346900,348200,349400,350700,352400,353900,355300,356900,359000,361600,364800,368200,372000,375900,380100,384600,389100,393600,398000,402400,406600,410800,414800,418700,422400,426100,430000,434700,440200,446500,453400,460900,468600,476700,485300,494600,504600,515200,525300,535100,543900,551800,559000,565900,572600,579700,587500,595000,602900,610600,618100,625000,631600,637200,642100,646100,648900,651000,652600,653600,654000,653800,652800,650900,648400,645200,641600,638200,635300,633000,631100,628700,626000,622700,618500,613600,608500,602600,596400,589700,582300,573700,564300,554800,546300,537900,530200,523100,517100,511600,506700,502100,497900,493400,488600,482900,476900,472000,468500,466700,465500,464900,464900,465300,465600,465700,465700,465500,464700,463300,461200,458900,456400,454400,452300,450400,448200,446000,443600,441400,439100,436900,435100,433700,432800,432400,432600,432900,433800,435000,436900,439400,442700,446400,450500,454600,458900,463500,468000,473000,478600,485900,493500,501800,510500,519700,528700,536500,543100,548700,553600,557700,561300,564800,568500,572400,576400,579100,581000,582700,584200,586100,588000,590300,593400,597900,602500,607100,611200,615500,619700,623800,627600,631800,636500,641000,645500
54,"Texas",2,,,,,,,,,,,103700,104700,105400,106000,106400,106900,107500,108200,108600,109100,109600,109900,110400,110700,111100,111500,111900,112300,112700,113000,113500,113900,114600,115100,115700,116200,116800,117500,118400,119300,120000,120700,121300,121900,122500,123100,123400,123500,123600,124000,124400,124800,125000,125500,125900,126600,127000,127500,127700,127900,128200,128500,128900,129100,129300,129500,129900,130200,130700,131000,131200,131400,131500,131700,131900,132200,132700,133100,133500,134000,134300,134800,135100,135400,135500,135700,135900,136300,136700,137000,137200,137300,137400,138100,139200,140900,142700,144300,145500,146600,147400,148300,149000,149700,150300,151000,151600,152200,152900,153500,154200,154800,155300,155800,156500,157000,157400,157900,158600,159400,160300,161100,161800,162500,163300,164000,164800,165500,166200,166900,167400,167900,168400,168800,169400,170000,170600,171100,171500,172100,172500,172300,171500,170100,168800,167500,166300,165200,164700,164800,165500,166300,167200,168100,169100,170300,171200,172000,172500,172900,173300,173400,173500,173300,173500,173400,173500,173700,173700,174000,174100,174200,173900,173000,172100,171200,170500,170000,169600,168400,167900,167700,168400,168900,169400,170700,171000,171200,170700,171000,171400,171900,172200,172300,172500,172700,173000,173100,173300,173900,174400,174900,175300,176100,177100,178300,179400,180400,181000,181600,182500,183400,184100,184700,185500,186600,187200,187500,187500,187700,188500,189300,190300,191500,192900,194400,195800,197400,199100,200600,202000,203400,204600,205600,206400,207200,208100,209100,210000
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391200,390300,389700,389200,388500,387000,385300,383300,381900,380300,378700,376900,374600,372000,368900,365700,362600,358800,355200,351600,348900,345800,342700,340200,338300,337400,336800,336400,336100,335200,334400,333500,333500,333200,333000,332800,332500,332000,331400,330800,330100,328900,327800,326600,325800,325000,324200,323300,322600,322100,321700,321400,321100,320300,319400,318200,317600,317200,317000,317100,317400,317900,318700,319600,320500,320900,321200,321300,321700,322300,323400,324900,326800,328700,330500,332100,333200,334100,335000,336100,338500,341600,344800,347000,348500,349800,350400,350600,350600,350700,351300,352700,354100,355200,355600,355800,356200,356300,357000,357700,359100,360400,361800
14,"Florida",4,126200,125900,125900,125800,125600,125400,125500,125600,125800,125900,126300,126800,127500,128000,128100,128400,128800,129200,129500,130000,130400,131100,132100,133000,133900,134300,134800,135000,135300,135500,136000,136600,137300,137900,138600,139400,140500,141300,142100,142800,143500,144100,144800,145600,146600,147600,148600,149700,151100,152300,153300,154400,155500,156600,157600,158600,159800,161100,162500,163800,165400,167000,168300,169700,171100,172600,173900,175400,176700,178200,179800,181500,183300,184800,186500,188100,190100,192200,194200,196100,197700,199500,201400,203200,205000,206900,208800,210700,212500,214400,216500,218700,221100,223600,226300,229000,231800,235000,238500,242300,246400,250700,255300,259600,264400,269100,274100,279300,285100,291300,298100,305100,311700,318200,324300,330100,335200,339900,343800,347300,350500,353000,354800,355600,355600,355100,354200,352800,351100,349200,347200,345300,343000,340100,337000,333800,330200,326500,322600,318600,314400,309900,305300,300300,295100,289800,284900,280100,275700,271700,268200,264700,261300,258000,254800,251600,248500,245000,241400,238300,235600,233500,231600,230100,228800,227600,226300,224800,223500,222400,221400,220400,219100,217400,215600,213900,212300,210900,209500,208400,207400,206400,205400,204400,203700,202900,202300,201900,201800,201800,202200,202900,204000,205100,206300,207500,208700,209900,211000,212300,213600,214900,216500,218000,219800,221800,223800,226000,228300,230700,233100,235400,237700,239900,241900,243400,245000,247100,249200,250800,252200,253400,254500,255600,256600,257700,259200,260900,262600,264600,266500,268700,270700,272500,274000,275600,277200,279100,280900
21,"Illinois",5,137900,138100,138100,138200,138200,138000,137800,137800,137900,138300,139000,139600,140200,140400,140700,140800,141000,141100,141600,142000,142300,142700,143400,144000,144700,145100,145500,145800,146100,146600,147300,148100,149000,149700,150400,151100,152200,153100,154000,154700,155500,156300,157200,158200,159200,160100,161100,162200,163400,164200,165100,166100,167000,167900,168900,170000,171100,172100,173100,174300,175600,176800,177700,178500,179300,180300,181500,182800,184100,185300,186100,187000,187900,189000,189900,190900,191700,192600,193500,194700,196000,197300,198600,199700,200900,202400,204100,206100,207800,209100,209700,210400,210900,211800,212800,213800,214900,216000,217300,218600,220500,222500,224200,225200,226400,227800,229400,230900,232500,233900,235300,236600,238100,239600,241200,242600,244100,245500,246600,247800,248900,250000,250700,251300,251800,252800,253600,254000,254000,253900,253900,253800,253900,253600,253800,253600,253000,251900,250900,250200,249300,248300,247200,246000,244600,243200,241900,240700,239800,239400,239700,240100,240700,241500,242300,243100,243800,244400,244600,244600,244400,243800,243300,242600,241800,240800,239800,238600,237800,236900,236300,235800,235000,234000,232800,231300,229700,228100,226500,224900,223500,222400,221100,219700,218500,217400,216400,215400,214600,213700,212800,212100,211900,212300,212600,213500,214400,215500,216300,216100,215900,215500,215300,214800,214500,214000,213500,212800,211300,209400,207600,208200,209900,212500,214300,215300,215100,214100,213000,212400,212300,212500,212700,212900,212400,211700,210800,210300,210300,210700,211000,211300,211600,211900,212100,211800,211600,211400,211500
47,"Pennsylvania",6,108700,108600,108500,108600,108700,108700,108800,108700,108600,108700,108900,109200,109400,109700,109800,109900,110100,110200,110400,110700,111000,111300,111800,112300,112900,113300,113600,113700,113800,113800,114100,114500,115100,115600,116300,116700,117300,117600,118000,118200,118600,119000,119200,119500,119800,120300,120900,121500,122100,122600,123000,123600,124100,124800,125300,125900,126400,127000,127600,128200,129000,129800,130600,131100,131800,132500,133300,133900,134500,135200,135900,136700,137600,138500,139200,139900,140800,141800,142800,143800,144900,146000,147200,148300,149300,150400,151500,152800,153900,155100,156300,157600,158900,160100,161100,162200,163200,164400,165600,167000,168500,169900,171300,172600,173900,175200,176600,177900,179300,180700,182400,184000,185600,187200,188800,190300,191800,193100,194000,194900,195800,196600,197300,197900,198600,199100,199500,199700,200000,200300,200700,201100,201400,201700,202000,202100,202100,201900,201800,201500,201000,200500,200000,199700,199400,199300,199100,199000,198700,198400,198100,198000,197900,197800,197800,197700,197600,197200,196800,196300,195900,195600,195400,195300,195200,195100,194900,194600,194300,194100,193800,193500,193000,192300,191400,190700,190000,189400,188700,188100,187500,186800,186100,185400,185000,184700,184600,184300,184100,184000,183800,183600,183600,183600,183500,183400,183300,183300,183000,182900,182800,182700,182600,182600,182800,183000,183600,184200,185200,185800,186800,187600,188900,190000,191400,192200,193000,193500,194100,194500,194700,195000,195100,195300,195100,194800,194700,194800,195200,195200,195300,195300,195300,195600,195900,196100,196200,196200,196300
44,"Ohio",7,107800,107800,107900,108200,108400,108600,108900,109000,109300,109500,109800,110100,110700,111200,111500,111800,112000,112400,112900,113200,113500,113900,114400,115000,115400,115700,116000,116500,116800,117100,117500,118000,118500,119100,119600,120200,120800,121300,121700,122400,123000,123600,123900,124200,124600,124900,125200,125800,126400,127000,127400,127900,128300,128700,129100,129500,130000,130400,130800,131100,131500,132000,132400,132700,133000,133300,133600,134000,134200,134600,134900,135300,135800,136100,136500,136800,137300,137700,138100,138400,138800,139200,139600,140000,140300,140800,141400,142000,142600,143200,143700,144400,145100,145900,146300,146500,146800,147100,147400,147700,148000,148400,148800,149200,149600,149900,150400,150800,151200,151700,152100,152500,152800,153000,153100,153300,153400,153500,153700,153800,154100,154100,154100,154100,154100,154300,154200,154000,153700,153500,153200,153100,152900,152700,152400,152300,152000,151800,151400,150900,150200,149400,148600,147700,147000,146300,145700,145300,145600,146500,147900,149300,150700,152200,153600,155100,156400,157800,159000,159500,158800,157300,155900,155000,154400,153700,153200,152500,151600,150500,149500,148800,148100,147400,146600,145800,145000,144100,143100,141900,141000,140400,140400,140600,141200,141500,141500,141100,140900,140900,141000,140800,140800,140900,141200,141400,141600,141900,142100,142100,142000,141900,141700,141400,141100,140700,140300,139800,139600,139700,140100,140500,141100,141800,142500,143600,144500,145100,144900,144800,144800,145100,145300,145600,145600,145700,145900,146200,146700,147100,147600,148000,148400,148700,149000,149200,149500,149700,149600
30,"Michigan",8,108500,108500,108400,108300,108100,108000,108100,108200,108300,108400,108600,109000,109700,110300,111000,111600,112300,113000,113700,114200,114900,115600,116300,116800,117400,118100,118800,119500,120200,120800,121500,122100,122700,123400,124300,125200,126200,127000,128000,129200,130200,131200,131900,132600,133300,134000,134800,135800,136900,137800,138500,139100,139500,140200,140900,141600,142400,143100,143900,144600,145400,146000,146700,147400,148200,148900,149400,149800,150300,150800,151100,151500,151700,152100,152800,153500,154200,154900,155700,156500,157100,157700,158100,158700,159300,159700,160000,160300,160900,161400,162000,162600,163200,163800,164200,164500,164900,165200,165700,166200,166500,166800,167200,167600,168000,168600,169000,169600,170000,170500,170900,171100,171200,171100,171200,171100,171200,171100,171000,170700,170400,170100,169800,169500,169100,168700,168200,167500,166800,166200,165600,165000,164500,163800,162900,162000,161000,160100,159000,157900,156500,154800,153200,151500,149700,148000,146300,144600,143100,141800,140800,139900,139000,138200,137400,136700,135700,134800,133800,132700,131700,130800,130100,129400,128700,128200,127800,127500,127500,127500,127400,127200,126900,126300,125700,125200,124700,124000,123300,122700,122300,122000,121600,121300,121000,120700,120500,120300,120400,120500,120900,121200,121600,122200,123000,124000,125100,125900,126700,127500,128300,129300,130300,131600,132700,133900,135200,136800,138200,139800,140900,142200,143200,144300,145100,146000,146400,146800,147000,147400,147800,148100,148400,148600,148800,149000,149000,149100,149400,149700,150100,150400,150900,151400,151800,152100,152500,153000,153600
16,"Georgia",9,118800,118700,118800,118900,119000,118900,119100,119500,120000,120300,120700,121200,121900,122500,123000,123500,124100,124900,125500,126000,126600,127200,127800,128500,129300,129900,130400,131000,131600,132400,133200,134100,134900,135900,136700,137400,138200,139000,140000,141100,142200,143300,144300,145100,145800,146500,147400,148300,149200,150100,151000,152100,152900,153700,154400,155200,155900,156500,157100,157900,158800,159800,160500,161100,161700,162200,162700,163100,163600,164100,164700,165200,165700,166100,166600,167000,167400,167900,168400,168900,169400,169900,170500,171000,171400,171800,172200,172800,173200,173700,174300,174700,175200,175800,176700,177400,178100,178600,179200,179600,180300,180900,181800,182600,183600,184500,185500,186400,187400,188500,189500,190500,191400,192400,193400,194400,195400,196400,197200,198100,198900,199700,200300,201000,201800,202500,203000,203400,203800,203800,203600,203500,203700,204100,204400,204700,204600,204600,204200,203800,203100,202500,201900,201100,200100,199100,198100,197100,196200,195200,194300,193400,192600,191900,191200,190500,189600,188600,187500,186400,185600,184800,184300,183700,183000,182200,181500,180800,180200,179600,178900,178000,176800,175400,174200,173000,171800,170500,169100,167900,166700,165600,164300,163200,162200,161300,160400,159700,159000,158800,158700,158600,158400,158400,158500,158500,158700,158800,159100,159100,159400,159700,160200,161000,161900,162800,163900,165400,167100,168800,170300,171900,173600,175300,176800,178200,179400,180900,182500,183900,185000,186000,186800,187600,188100,188400,188700,189300,189800,190200,190700,191100,191800,192400,193300,194100,195100,196000,197000
36,"North Carolina",10,119500,119900,120000,120200,120500,120900,121200,121300,121600,122000,122600,123200,124000,124600,125300,126100,127000,127700,128300,128900,129600,130200,130900,131600,132300,132800,133300,134000,134700,135300,136000,136600,137300,137900,138400,139000,139700,140400,141000,141500,142000,142400,142800,143300,143800,144300,144800,145200,145900,146400,147200,147800,148300,148800,149500,150200,150700,151200,151800,152400,152900,153300,153600,153800,154000,154400,154700,155000,155200,155500,155700,156200,156600,157000,157300,157700,158100,158500,159000,159300,159700,160200,160700,161100,161500,162000,162600,163100,163500,163800,164200,164800,165400,166100,166800,167500,168100,168800,169500,170400,171100,171900,172700,173600,174500,175500,176400,177400,178400,179400,180500,181600,182800,184000,185600,187200,188800,190100,191300,192400,193400,194500,195400,196500,197400,198500,199600,200400,201300,202000,202700,203400,204100,204800,205400,206100,206700,207200,207300,207100,206800,206600,206400,206100,206100,206300,206700,206800,206700,206400,206100,205700,205500,205300,205100,204900,204600,204100,203500,202900,202400,201800,201300,200900,200600,200100,199400,198900,198200,197500,196600,195800,195100,194500,193700,192900,192000,191200,190600,189900,189300,188500,188000,187400,186800,186200,185900,185700,185600,185500,185500,185600,185600,185500,185500,185500,185800,186000,186300,186400,186400,186600,186900,187300,187600,187900,188200,188900,189500,190200,190800,191600,192400,193200,193900,194500,195300,196300,197200,197700,197900,198100,198300,198500,198600,198700,198800,199100,199400,199700,200000,200200,200600,201000,201500,201900,202400,202900,203400
40,"New Jersey",11,176200,175600,175100,174700,174400,174000,173600,173300,173100,173000,173400,173900,174900,175200,175400,175600,175900,176200,176400,176800,177300,178000,179300,180500,182200,183200,183700,183900,184200,184800,185500,186400,187300,188600,190200,192100,193800,195200,196500,197700,199100,200700,202400,203900,205400,206900,208600,210300,212300,214400,216300,218400,220300,222200,224100,226200,228500,230700,233100,235400,237700,239700,241700,243900,246200,248700,251100,253800,256100,258500,260900,263400,266300,269300,272500,275600,279000,282500,286000,289400,292800,296200,299700,303200,306400,309700,312900,316500,319900,323300,326700,330100,333600,337000,340400,343700,347400,351200,355300,359500,364000,368700,373600,378200,382800,387400,391600,395900,400400,405000,409900,414600,419100,423100,427300,431000,434700,437800,440300,442700,444700,446700,448100,449200,449300,449100,448600,447600,446200,445000,443700,442700,442100,441400,440900,440100,438600,436900,434800,433100,431300,429600,427600,425500,423100,420100,417200,414400,411600,408900,406200,403700,401200,399000,396900,394800,392800,390300,387400,384800,382600,381300,380200,379300,378500,377900,377100,376300,375400,374300,373300,372200,371000,369600,368200,366600,365000,363400,361800,359900,357800,355800,353800,351900,350200,348600,346900,344900,343000,341300,339900,338600,337400,336700,336100,336100,336200,336600,336800,336600,336400,336300,336500,336800,337000,337300,338000,339100,340400,341600,343000,344700,346700,348800,350600,352300,354700,356900,360100,362200,364100,364700,365100,365300,365100,364300,364000,364400,364800,364900,364000,363200,362700,362800,363500,364500,365500,366500,367400
56,"Virginia",12,141300,141500,141700,141800,141600,141500,141500,141800,141900,142100,142400,142800,143300,143400,143400,143600,143800,144200,144600,145100,145600,146200,146800,147600,148600,148900,149100,149200,149600,150000,150500,151100,151900,152800,153800,154500,155500,156100,156900,157600,158500,159300,160000,160800,161700,162900,164200,165400,166800,168000,169300,170500,171700,172900,174100,175300,176600,178000,179600,181100,183000,184400,186000,187400,188800,190200,191700,193000,194400,195600,196900,198300,200000,201800,203500,205100,206800,208400,210100,211800,213600,215300,217100,218900,220700,222500,224200,226000,227900,230000,232400,235100,237800,240800,243900,247200,250400,253700,257400,261700,266100,270700,275300,279700,284000,288500,292900,297400,302000,306800,311600,316100,320200,324000,327400,330400,332700,334500,335500,336400,337100,337400,337600,337600,337000,336300,335400,334500,333600,332900,332400,332000,331900,331500,331100,330400,329400,328000,326600,324700,322900,320900,318700,316400,314100,311800,309600,307400,305200,303400,302000,300800,299700,298800,298000,297000,295800,294200,292500,291300,290400,290000,289700,289400,289100,288900,288500,287900,287400,287000,286800,286500,286000,285200,284300,283300,282400,281600,280700,279800,279200,278600,278100,277600,277200,277000,276800,276700,276700,277000,277200,277500,277800,278000,278400,278800,279400,279900,280100,280300,280400,280800,281000,281800,282900,284400,286300,288400,290600,292700,294800,296700,298600,300400,302400,303900,304800,305200,305400,305300,305000,304600,304300,304100,303800,303300,303100,303200,303500,303800,303800,303700,303400,303200,302900,302900,303000,303200,303400
59,"Washington",13,160700,160900,161000,160900,160900,161200,161400,161800,162200,163000,163900,165000,166000,166900,167800,168700,169700,170900,172000,173200,174300,175500,176700,177900,179100,180100,181100,182100,183200,184200,185300,186300,187300,188200,189300,190500,191600,192600,193500,194600,195700,196600,197800,199000,200400,201700,203100,204300,205600,206700,207900,209000,210000,210800,211400,212100,212600,213300,214200,215100,216100,217000,217800,218600,219300,220100,220900,222000,222900,223700,224400,225100,225900,226500,227100,227700,228300,229100,230000,230900,231900,233000,234400,235800,237000,238300,239300,240400,241500,242700,244200,245500,247000,248800,250800,253000,255200,257300,259700,262100,264600,267100,269700,272600,275600,278900,282100,285600,289300,293500,298000,302700,307500,312100,316800,321200,325500,329500,333000,336400,339800,343400,346900,350400,353600,356800,359500,362000,364100,365800,367300,368800,370200,371200,372100,373000,373500,373700,373300,372100,370500,368600,366500,364300,362200,360000,357900,355400,352700,349900,347400,345100,343200,341500,339900,338200,336100,333400,330300,327400,325000,323200,321900,320800,319800,318900,318000,316900,315700,314100,312500,310800,308700,306600,304400,302500,300700,299200,297400,295500,293200,291100,288900,287000,285300,284000,283200,282500,282100,281500,281300,281500,282100,283200,284400,285800,287000,288200,289600,291000,292400,293900,295400,297200,299000,301400,304000,307400,311000,314400,317300,319400,321600,323700,325800,327300,329100,331100,332800,333900,334800,336000,336800,338100,339300,340800,342500,344200,347500,350500,354400,357100,359800,361700,363700,365600,367500,369200,371000
26,"Massachusetts",14,182300,182100,182000,181800,181900,182000,182200,182200,182500,183200,184400,185500,186900,187800,188500,189300,190100,190900,191900,192900,194400,196200,198400,200400,202600,204100,205700,207200,208900,210400,212100,213400,214800,216200,217900,219600,222000,224200,226700,229200,231700,234300,236800,239600,242500,245600,248700,251700,255100,258300,261800,265400,269100,272600,276100,279700,283300,286900,290200,293800,297400,301000,304500,308200,311700,315300,318700,322000,325200,328000,330600,333200,336300,339600,342800,346300,349800,353700,357700,361400,365100,368900,372700,376200,379100,381600,383900,386300,388600,391000,393500,396300,399300,402300,405200,408400,411700,415100,418800,422400,426000,429600,433200,436400,439300,442200,444900,447500,450400,452900,455100,456600,457600,458300,459100,459300,458900,458200,457200,456300,455500,454700,453700,452300,450400,448300,446000,443800,441900,440100,438900,438000,437500,436700,435600,434500,433000,431600,429800,428000,426100,424100,421800,419000,415900,412700,410200,407900,406000,404100,402500,401200,400400,399800,399400,398900,398100,396800,395100,394000,393700,394300,394900,395300,395600,395800,395700,395200,394600,394200,394000,393500,392700,391700,390800,389800,389000,388100,387200,386000,384900,384000,383200,382600,382200,381700,381200,380900,380600,380400,380200,380300,380600,381600,382800,384000,385100,386100,387000,387900,388700,389700,390800,392300,394000,396100,398700,401900,405700,409300,412400,415400,418100,420900,423200,425000,426400,428000,429800,431100,431600,431400,431300,431500,431800,431900,433100,435700,438500,440800,441900,442800,444000,445600,447200,448500,449700,451000,452500
22,"Indiana",15,85700,86800,87900,88100,88100,88100,88300,88500,88600,88200,88000,87700,88000,87600,87900,89000,90600,92200,93200,94200,94900,95400,95700,96000,97000,97600,97900,98100,98300,98500,98700,98900,99200,99200,99400,99600,100300,100700,101000,101300,101500,101700,102000,102500,103100,103200,103400,103400,104100,104500,105000,105500,106000,106500,106900,107200,107400,110300,113300,116600,117600,118600,119300,120000,120400,120700,121100,121500,121700,121600,121800,121900,122200,122300,122400,122400,122400,122300,122300,122500,122700,122500,122300,122100,122300,122600,122800,123100,123500,124000,124700,125500,126500,127500,128600,129600,130400,131200,132100,133000,134100,135300,136500,137400,138200,138600,138800,139200,139900,140600,141100,141500,142000,142200,142600,142700,142900,142900,142500,141800,141200,140900,140900,141100,141300,141500,141500,141600,141500,141400,141200,141100,141200,141400,141500,141500,141400,141300,141200,141100,141100,141200,141400,141600,141700,141900,142000,142000,141700,141300,140800,140300,139800,139300,138900,138600,138200,137700,137100,136600,136200,136100,136000,135900,135500,135200,134900,134500,134300,134000,133800,133200,133000,132600,132500,132400,132500,132500,132300,131800,131200,130800,130600,130400,130200,129800,129500,129300,129300,129300,129500,129500,129500,129700,130100,130400,130700,130900,131200,131400,131700,132000,132800,134000,135400,136700,138100,139200,140200,140800,141100,141100,140800,140700,140700,141000,140500,139400,137900,137100,136700,136600,136700,137100,137500,137800,138200,138500,139000,139700,140100,140600,140800,141300,141400,141800,142200,142700,142800
8,"Arizona",16,131900,132000,132300,132500,132500,132700,132900,133400,133700,134000,134500,135100,135700,136100,136400,136700,137100,137700,138300,139000,139900,140700,141700,142500,143500,144200,145000,145800,146600,147100,147500,147900,148500,149300,150200,151200,152400,153500,154300,155000,155700,156400,157000,157700,158300,159300,160300,161400,162800,163900,165000,165800,166600,167400,168300,169200,170100,170900,171800,172800,173900,174700,175300,176000,176700,177200,177800,178500,179400,180200,181200,182200,183400,184300,185200,185900,186700,187600,188600,189700,191000,192300,193500,194600,195500,196400,197300,198400,199400,200500,201700,203100,204700,206400,208200,210100,212200,214300,216800,219500,222900,227000,231800,236800,242300,248000,254000,260500,267900,275900,284700,293700,302700,310700,318100,324000,329000,333300,336700,339400,341200,342600,343400,344000,344000,343800,343000,341800,340100,338700,337300,336100,334900,333500,332000,330400,328400,326500,324200,321800,319200,316000,312200,308000,303700,299200,294800,290000,285400,281000,277200,273500,270100,266600,263100,259500,255700,251700,247600,243900,240400,237300,234700,232300,230200,228500,226900,225600,224000,222300,220300,218100,215400,212400,209100,206400,203900,202000,201000,200700,200600,200200,199300,198300,197700,197400,197600,198200,199300,200700,202500,204100,206200,208500,211200,214100,217000,219900,223000,225900,228600,230700,232500,234300,236400,239500,242800,246200,249100,251700,252600,253400,253700,254600,254800,255000,255500,256200,257000,257200,257500,257700,258100,258600,259400,260200,261200,262200,262900,263600,264200,265200,266400,267700,269600,271400,273300,274600,275700
