"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
102001,"United States",0,121000,123800,126400,127900,127400,127000,126600,126500,126500,126100,126400,126800,128700,129000,129100,129100,129000,129200,129600,129900,130500,130700,131900,132900,135000,134800,134600,135000,135900,136800,137700,138600,139700,140200,141400,142600,145100,145800,146300,146900,148100,149300,150600,151900,153200,153900,155400,157000,159800,161200,162500,163900,165500,167300,169300,171400,173300,174500,176200,178300,181500,183300,184500,185500,186800,188300,189900,191500,193000,193900,189700,184300,179900,180300,181600,183000,184600,186500,188500,190300,192000,192800,194500,196100,198600,200100,202100,204500,207300,209600,211700,213600,215800,223800,232400,241600,245300,249100,252600,256000,258000,259300,260600,262300,264300,265600,267800,270600,274600,278000,281400,285000,288900,292600,296500,299900,303000,305000,306800,308300,310100,311400,312400,313100,313600,313900,313900,313700,313300,312100,311000,310000,309800,309100,308100,306900,305800,304900,304000,302700,301200,299100,296600,293900,291400,288700,286400,284000,281800,279500,277300,275300,273400,271700,270000,268200,266200,264000,261600,259400,257600,256500,255600,254700,254100,253600,252900,251900,251000,250300,249700,248800,247800,246600,245400,244200,242900,241700,240700,239700,238800,237900,236900,236100,235300,234900,234600,234500,234300,234300,234700,235100,235600,236500,237500,238700,239700,240900,242100,243300,244500,245600,247000,249100,251400,253900,256500,259100,261800,264400,267000,269800,272500,275300,277700,280100,282400,285000,287100,289000,290400,291700,292800,294300,295900,297500,299200,300900,302400,304100,306200,308400,310900,313000,314900,316400,318000,319700,321100
9,"California",1,164500,164500,164000,163400,163000,162600,162300,162400,162700,163400,164500,165500,166500,166900,167200,167800,168600,169500,170600,171800,173500,175200,177300,179100,181400,182900,184400,185700,187200,188800,190500,192300,194100,196000,197800,199400,201300,202800,204300,206000,207900,209900,212100,214600,217300,220000,223000,226200,229900,233300,236600,239900,243100,246300,249700,253400,257100,260700,264100,267500,270900,273700,275800,277500,279100,280500,282300,283800,285300,287000,289100,291200,293400,295800,298800,302100,305900,309800,313900,317600,321400,325100,328800,332200,335600,338900,341900,345100,348500,352600,357300,362500,368300,374700,381300,388300,395800,404100,413000,422000,430000,437300,443600,449000,453800,458600,463500,468800,474600,480200,485900,491300,496900,502200,507100,511200,514700,517400,519000,520100,520700,520900,520500,519800,518200,516200,513800,511000,508100,505200,502700,500600,499000,497100,495200,493000,490200,487200,483800,480200,476000,471400,466000,460000,453400,447000,441000,435000,429100,423500,418700,414400,410600,407000,403700,400200,396400,391800,386800,383100,380700,379600,378800,378300,378300,378500,378800,378900,378600,378200,377100,375600,373700,371400,368900,366600,364500,362500,360500,358200,355700,353300,351000,348700,346800,345300,344400,343900,343600,343300,343500,344200,345500,347200,349500,352300,355400,358800,362300,365900,369600,373900,378800,384700,390900,397900,405500,413300,420900,427700,433400,438900,443800,448000,451600,455100,458700,461900,464800,466400,467800,468900,470300,472400,474300,476400,478700,482200,485900,489800,493600,497200,500700,503800,506500,509200,512100,515500,519100
54,"Texas",2,,,,,,,,,,,81900,82700,83600,84500,85200,85800,86200,86700,87100,87500,88000,88600,89200,89700,90100,90500,90900,91300,91900,92400,92900,93400,94000,94600,95200,95900,96600,97500,98400,99300,100100,100700,101200,101700,102200,102500,102700,102700,102800,103000,103400,103800,104200,104800,105500,106500,107300,108100,108600,108900,109000,109200,109400,109600,109900,110100,110500,110800,111100,111400,111700,111700,111700,111800,112000,112300,112700,113000,113100,113200,113400,113600,113900,114200,114600,115000,115200,115500,115800,116000,116100,116400,116700,117400,118300,119500,120900,122200,123200,124100,124800,125500,126100,126500,126800,127100,127600,128400,129100,129800,130400,131100,131900,132600,133300,134100,134600,135100,135700,136500,137400,138000,138800,139500,140400,141300,142200,142900,143500,143800,144400,145100,145800,146400,147100,147800,148300,148700,149200,149800,150300,150300,149600,148400,147200,146000,144800,144000,143800,144100,145000,146000,147000,147900,148800,150000,151200,152100,152700,153000,153300,153500,154000,154300,155300,156600,157400,158000,158100,158900,158800,158400,157900,156900,155500,153800,152200,151600,151200,150300,149300,148700,149500,150900,151900,152900,153000,153100,153500,153800,154600,154700,154900,154900,155600,156200,156600,156500,156500,156900,157000,156800,156700,157600,158900,160900,162300,163200,163200,163500,164500,165600,166500,167100,168400,169900,170300,169600,168600,168500,169200,170200,171200,172400,173600,174600,175600,177100,179100,181200,183100,184800,186700,188500,190300,192200,194000,195500,196700
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808000,771600,729100,700800,679600,662600,650800,644500,642000,639400,636500,635100,640700,649600,660400,668900,675600,681700,687000,690000,691400,690500,691900,694700,700100,707400,713400,718500,722600,728100,733000,736000,738000,739100,740300,741000,745800,753000,761700,767800,772700,775000,775600,775400,775900,776800,778000,779800,780700,780200,777300,773700,769900,765900,762100,757600,753000,746800,740400,733200,728200,725100,723900,723200,723600,725100,727900,729900,730700,730700,731500,733200,735800,737800,740200,742100,743900,745000,747000,748900,749800,749800,749100,749000,750000,752400,755800,759400,762000,763900,766900,770500,774300,777800,780300,782300,785700,789200,795000,800600,806600,811500,818400,826000,833000,838800,843500,849000,855800,863400,873600,884400,895300,903800,911700,919000,935600,956800,979300,993900,1003300,1011800,1020200,1034900,1050100,1067000,1080300,1090000,1096900,1103800,1113800,1129100,1149100,1169000,1179200,1182400,1182900,1186300,1189900
14,"Florida",4,99800,99900,100000,100000,100000,100100,100100,100200,100300,100500,100800,101100,101800,102000,102000,102200,102300,102400,102600,102800,103200,103600,104200,104900,105800,106200,106500,106700,107000,107200,107700,108300,108900,109300,109800,110300,111300,112000,112600,113000,113500,113900,114400,115000,115800,116500,117500,118400,119600,120400,121400,122500,123600,124600,125600,126600,127700,129000,130400,131800,133400,134900,136400,137800,139200,140500,141800,143300,144900,146500,148200,149800,151500,153100,154500,156200,158100,160300,162300,164000,165400,166900,168600,170400,172000,173800,175400,177200,178800,180400,182100,184100,186200,188500,190900,193500,196300,199300,202800,206300,210100,213900,218100,222400,226900,231600,236300,241600,247300,253700,260200,267000,273400,279700,285500,290800,295500,299700,303100,306100,308500,310300,311300,311700,311500,310900,310000,308200,306200,303900,301600,299200,296500,293100,289700,286300,282800,279300,275700,272200,268600,264900,260800,256400,251700,246900,242400,238000,234000,230200,226700,223100,219600,216200,212900,209700,206500,203100,199700,196600,193800,191400,189400,187800,186600,185500,184300,183000,182000,181300,180700,180000,178900,177600,176000,174700,173500,172600,171800,171100,170600,170100,169800,169300,169000,168500,168400,168300,168400,168600,169100,170100,171400,172900,174400,175800,177200,178600,179900,180900,182000,183400,185100,187100,189200,191300,193500,195600,197900,199700,201900,203900,206200,208100,210100,212100,213900,216000,217800,219400,220700,221900,222800,223900,224900,226000,227000,228200,228900,230000,231300,232900,234800,236900,239000,241200,243400,245600,247400
21,"Illinois",5,124100,124400,124600,124600,124800,124900,125100,125200,125400,125500,125800,126000,126500,126700,126700,126900,127000,127400,127700,128100,128600,129000,129700,130100,131000,131500,132000,132600,133400,134200,135200,136300,137100,137800,138600,139600,141100,142200,143400,144500,145500,146700,148100,149600,151200,152800,154300,155700,157400,158900,160600,162300,163600,164900,166100,167400,168900,170500,172100,173500,175000,176600,178200,179700,181200,182700,184400,185800,187400,188800,190100,191200,192100,192900,193400,194100,194900,196000,197200,198300,199400,200400,201500,203000,204700,206600,208800,211000,213000,214200,214700,214800,214800,214900,215500,216100,217100,217700,218500,219100,220000,221400,222800,224500,225900,227500,229000,230500,231800,233100,234300,235700,237100,238400,239700,240800,242100,243400,244400,245500,246300,247100,247600,248100,248200,248400,248500,248700,248900,249200,249300,249100,249100,248900,248800,248600,248300,248100,248200,248200,248100,247800,247300,246600,245700,244600,243400,242000,240400,238800,237400,236200,235100,234100,233200,232200,231100,230000,228800,227600,226400,225400,224600,223900,223100,222100,220900,219200,217600,216200,215100,214000,212800,211400,209700,207500,205400,203000,201100,199900,199000,197800,195800,194100,192700,191000,188900,186800,184900,183300,181700,180100,179000,178700,178400,178200,177800,177400,176900,176600,176400,176700,177300,177700,178600,179800,181800,184100,186700,188900,191000,193600,196100,198700,200900,202900,204000,204100,203700,203100,203000,203500,204300,205100,205400,205500,205200,204600,204300,204800,206000,207400,208400,209300,210000,210500,210700,210800,211100
47,"Pennsylvania",6,70100,69900,69800,69800,69600,69500,69500,69400,69400,69400,69600,69800,69900,69900,70000,70000,70000,69800,69800,69900,70100,70300,70600,70900,71300,71500,71700,71600,71700,71800,71900,72100,72500,72900,73500,73900,74400,74800,74900,75100,75300,75500,75800,76000,76300,76700,77100,77500,77900,78300,78500,78800,79100,79600,80000,80500,80900,81300,81700,82200,82600,83000,83500,84000,84500,85100,85700,86400,87000,87600,88300,89000,89800,90500,91300,92000,92800,93700,94400,95200,96000,97000,97900,98800,99600,100400,101200,102100,103000,104000,104900,105900,106900,108000,109000,110000,111000,112300,113600,115000,116200,117500,118900,120400,121900,123300,124600,126100,127700,129200,130800,132200,133800,135500,137200,138600,140000,141400,142600,143600,144700,145800,146900,148000,148900,149800,150400,150800,151100,151400,151600,152000,152400,152900,153400,154000,154400,154600,154600,154300,153900,153500,153300,153100,152700,152200,152000,151900,151900,151900,152000,152100,152300,152600,153000,153300,153500,153400,153200,153100,152900,152900,153000,153200,153500,153600,153400,153100,153000,153100,153200,152900,152300,151300,150400,149600,148900,148100,147400,146900,146300,145500,144700,143800,143000,142500,142200,141900,141700,141600,141700,141700,141600,141200,140800,140300,140100,140000,139800,139600,139600,139700,139900,140300,140500,140900,141400,142000,142600,143200,144000,144900,146000,147100,148200,149200,150400,152000,153600,154700,155600,156200,156700,157000,157000,157000,156900,157000,156900,156800,156600,156800,157100,157800,158500,159200,159800,160300,160500
44,"Ohio",7,94200,94600,95000,95200,95500,95800,96000,96100,96300,96400,96600,96800,97100,97400,97500,97700,97800,98200,98500,98800,99100,99600,100100,100500,101000,101300,101400,101700,102100,102500,102800,102900,103300,103700,104300,104700,105300,105800,106300,106800,107100,107400,107600,107900,108100,108400,108700,109100,109700,110100,110600,110900,111100,111400,111800,112200,112500,112800,113200,113600,114000,114300,114600,114900,115200,115400,115800,116100,116500,116900,117100,117500,117700,118100,118400,118800,119100,119400,119900,120400,120700,121100,121500,121900,122200,122500,122800,123300,123700,124200,124600,125000,125500,125900,126200,126400,126600,126900,127300,127700,128100,128400,128700,129100,129400,129800,130300,130800,131400,131800,132000,132200,132300,132500,132600,132800,132900,133000,133200,133400,133500,133500,133600,133600,133500,133600,133500,133300,133200,133000,132800,132600,132400,132200,132000,131800,131600,131300,131000,130600,130300,129800,129300,128600,127900,127300,126800,126400,126100,125900,125800,125700,125700,125800,125900,125900,125800,125600,125500,125200,125100,125000,124800,124500,124200,123700,123200,122700,122300,121700,121500,121500,121300,120900,120300,119700,119000,118100,117300,116800,116500,116400,116200,115900,115500,114900,114300,113800,113500,113500,113500,113300,113300,113500,113700,113900,114100,114400,114500,114500,114400,114300,114300,114300,114200,114000,113600,113400,113200,113200,113700,114200,114900,115500,116100,116800,117300,117700,117800,117700,117900,118000,118100,118200,118400,118600,118900,119100,119400,119700,120100,120300,120400,120800,121100,121700,122100,122600,122900
30,"Michigan",8,140200,140200,140200,140200,140600,140500,140500,140400,140700,141300,142300,143500,144700,145800,146700,147500,148400,149200,150000,150800,151700,152700,153700,154700,155600,156500,157300,158100,159000,160100,161200,162000,162800,163600,164700,165500,166400,167400,168600,169900,171100,172200,173200,174300,175300,176300,177400,178700,180100,181400,182400,183400,184200,185200,186300,187400,188400,189400,190200,190800,191600,192500,193400,194300,195100,195900,196600,197300,198000,198600,199000,199600,200300,201000,201700,202500,203300,203900,204600,205000,205600,206100,206500,206800,207000,207200,207600,208200,208800,209400,210000,210500,210900,211600,212100,212600,213000,213300,213600,213600,213600,213800,214200,214600,215000,215300,215700,216100,216600,216900,217200,217400,217500,217400,217300,217000,216800,216600,216300,215800,215300,214900,214300,213600,212700,211900,211000,210100,209100,207900,206700,205700,204600,203400,202100,200900,199600,198000,196300,194300,192100,189900,187700,185400,183000,180600,178300,176000,173900,171900,170000,168200,166600,165100,163700,162200,160600,158900,157000,155200,153700,152800,152000,151400,150800,150300,149800,149300,149100,149000,148900,148700,148300,147700,147000,146600,146000,145500,145100,145000,145000,145000,144800,144500,144400,144300,144300,144500,144700,145200,145800,146400,147200,148100,149300,150700,152300,153700,155000,156300,157700,159000,160500,162000,163200,164600,166300,168500,171200,173800,176200,178300,180200,182000,183600,185000,186400,187600,189000,190100,191200,192000,192600,193400,194100,194900,195600,196400,197200,198700,200100,201400,202000,202600,203500,204500,205700,206700,207600
16,"Georgia",9,109600,110000,110200,109900,109700,109600,109600,109500,109700,110100,110500,110900,111800,112400,113100,113900,114500,114900,115500,116200,117200,118100,119100,120200,121500,122600,123600,124800,126000,127100,128600,129900,131000,132100,133100,134200,135500,136800,138100,139700,141500,143500,145100,146500,147700,149000,150100,150900,151800,153000,154600,156300,157500,158400,159300,160400,161400,162200,163000,163800,164900,165800,166700,167400,168100,168900,169600,170400,170800,171300,171900,172500,173000,173300,173700,174200,174700,175300,175800,176400,177000,177500,177900,178200,178500,178800,178800,178900,179000,179200,179400,179700,180000,180600,181400,182400,183200,183800,184100,184500,185000,185800,186500,187200,187900,188800,189700,190700,191700,192400,193200,194000,195000,196100,197300,198200,199100,200000,201100,202200,203300,204200,205100,205800,206200,206500,206700,206900,207200,207400,207400,207200,207200,207600,207700,207800,207400,207000,206500,205800,205100,204100,202800,201500,200200,199100,198400,197600,196600,195200,193400,191800,190400,188900,187500,186000,184400,182600,180700,179000,177800,177200,176500,175800,174600,173600,172600,171600,170500,169200,168100,166700,165300,163700,162400,161100,159600,158000,156500,155200,153800,152300,150700,149100,147500,145900,144600,143700,143100,142700,142400,142100,142000,142000,142200,142500,142700,142900,143000,143200,143500,143900,144700,145600,146600,147600,148900,150500,152600,154400,156300,158200,160300,162300,164000,165700,167300,169100,170700,172100,173400,174800,175900,177000,177900,178900,179800,180600,181300,182100,183200,184400,185700,186900,188300,189600,191100,192300,193400
36,"North Carolina",10,100500,101900,102800,103300,103600,104200,104700,105300,105900,106500,107200,107700,108500,109000,109800,110400,110600,110900,111400,111900,112400,112700,113200,113800,114600,115100,115600,116300,117100,117900,118800,119700,120600,121300,121900,122600,123600,124300,124800,125300,125800,126200,126400,126500,126700,127000,127300,127700,128500,128900,129400,130000,130600,131200,131600,132000,132400,132800,133200,133500,134000,134100,134300,134300,134500,134800,135000,135300,135600,135900,136300,136800,137100,137200,137500,137900,138300,138700,139100,139400,139800,140300,140800,141000,141300,141800,142400,143000,143400,143800,144300,145100,145900,146800,147600,148500,149200,150000,150900,151900,152900,154000,155200,156400,157500,158600,159900,161300,162700,163900,164900,166200,167700,169300,171100,172800,174800,176400,178000,179500,181200,182800,184300,185700,187200,188500,189900,191200,192300,193100,193900,194400,195100,195800,196300,196600,196800,197000,196700,196100,195200,194700,194400,194100,193900,193700,193700,193600,193000,192100,191200,190200,189500,188700,187900,187100,186100,185000,183800,182900,182000,181400,180600,180100,179300,178500,177400,176500,175700,174700,173800,172800,171800,170800,170000,169200,168300,167300,166500,165600,164500,163400,162400,161700,160900,160200,159600,159200,158900,158800,158700,158500,158400,158300,158300,158300,158500,158700,158800,158800,158800,158900,159100,159200,159400,159700,160100,160700,161300,161700,162200,162600,163400,164100,164800,165400,165900,166400,166800,167100,167100,167200,167200,167400,167500,167700,167900,168200,169100,170100,170800,171200,171700,172200,172900,173600,174400,174900,175500
40,"New Jersey",11,111500,111000,110200,109400,108800,108200,107900,107600,107400,107200,107400,107900,108600,109000,109400,109800,110300,110700,111000,111400,111800,112300,113000,113700,114700,115400,116000,116300,117000,117700,118500,119400,120400,121300,122500,123400,124600,125500,126500,127600,128800,130200,131600,132900,134000,135100,136400,137700,139300,141000,142700,144500,146200,147700,149300,151200,153100,155000,156900,158900,161100,163000,164700,166000,167300,168900,170800,172600,174500,176500,178500,180300,182500,184800,187400,190000,192700,195300,197800,200400,202900,205700,208800,212100,215000,217700,219900,222500,225100,227700,230400,233100,236100,239300,242400,245100,247800,250600,254200,258000,262100,266100,270300,274400,278200,281800,285400,289300,293500,298000,302500,306900,311100,315200,319000,322800,326500,330000,332800,335400,337400,339300,340700,341800,342600,343100,343400,343000,342000,340800,339500,338300,337300,336000,334800,333300,331300,329200,327000,325100,323400,322000,320900,320100,319400,318500,317700,316900,315900,314800,313800,313000,312300,311700,311000,310200,309400,308400,307200,305800,304600,303600,302700,301800,301000,300300,299600,298600,297300,295900,294900,294100,293200,292100,290600,288800,287000,285400,283900,282400,280800,279200,277800,276400,275500,274700,274000,273000,271900,270700,269500,268200,267500,266800,266700,266600,266800,266800,266800,266700,267000,267300,268200,269300,270400,271200,272000,273000,274200,275700,278100,281200,284300,286900,288700,290100,290900,293100,294400,295600,295200,295700,295900,296000,295600,294900,294900,295600,296400,296700,297100,297600,299300,300900,302800,304100,305500,306900,307900
56,"Virginia",12,129200,129500,129400,129000,128500,128000,127500,127400,127300,127500,127700,128100,128500,128200,127700,127300,127000,126900,127000,127400,127800,128300,128900,129600,130300,130400,130200,129900,129700,129700,129800,130200,130800,131500,132300,132900,133700,134100,134400,134900,135600,136300,136800,137300,137800,138700,140000,141000,142200,143000,144200,145500,146900,148100,149600,151000,152700,154400,156500,158500,160800,162700,164700,166600,168600,170500,172300,174200,176200,177900,179700,181600,183900,186200,188400,190700,193000,195700,198400,201100,203600,206100,208500,210900,213200,215300,217300,219400,221600,224200,227300,230700,234300,238200,242100,246400,251000,256100,261700,267500,273600,279500,285700,291600,297600,303700,309700,315700,321900,328400,335200,341900,347900,353200,357500,360800,363300,364900,365500,365500,365200,364500,363300,361600,359000,356300,353500,350900,348400,346500,345100,344100,343100,341900,340400,338900,336900,334400,331900,329000,326000,322600,319200,315800,312300,308600,305100,301600,298400,295600,293100,290900,289000,287300,285700,283900,281600,278900,275900,273700,272200,271800,271700,272100,272300,272600,272600,272500,272600,272800,273200,273400,273400,273000,272300,271600,270900,270500,269900,269400,269100,269000,268900,269000,269300,269600,269900,270200,270500,270800,271000,271400,271800,272700,273600,274800,275700,276300,276800,277400,278100,278800,279700,280700,282100,283900,286200,288800,291700,294600,297500,299900,302000,303900,306000,307600,309000,309900,310600,310500,310200,309500,308900,308500,308600,308700,309200,309800,310700,311300,311400,311300,311100,311000,311100,311300,311400,311600,311800
59,"Washington",13,130900,131400,131700,132000,132400,132800,133200,133800,134200,134800,135400,136100,136900,137500,138200,139000,139800,140800,141700,142600,143700,145300,146900,148400,149600,150500,151300,152400,153900,155300,156600,157400,158500,159400,160500,161600,162800,164000,165000,166100,167100,168200,169400,170800,172400,174000,175600,177100,178400,179700,180900,182200,183200,184400,185300,186400,187200,188100,189100,190000,191000,191800,192500,193100,193600,194000,194300,194700,195000,195100,195400,195800,196500,197200,197800,198400,199200,199900,200700,201500,202100,202700,203400,204400,205000,205700,206400,207000,207600,208300,209200,210200,211400,212800,214600,216500,218500,220300,221900,223300,224800,226200,227900,229900,232400,235000,237700,240200,242900,245900,249200,252800,256500,260400,264700,268600,272300,275700,278700,281600,284700,288100,291800,295400,299000,302100,305100,307800,310300,312700,314600,316500,318400,320000,321400,322900,324100,325100,325300,324800,323500,321900,320200,318500,316600,314600,312500,310400,308000,305500,303100,301000,299100,297600,296000,294300,292300,289500,286500,283700,281500,279700,278200,276700,275500,274200,273300,272000,270800,269100,267300,265000,262300,259600,257000,254600,252100,249800,247700,245500,243000,240600,238100,235900,233900,232200,231000,230200,229400,228500,227800,227600,227700,228600,229400,230400,231500,232600,233700,235000,236500,238300,240200,242000,244100,246600,249600,253100,256800,260100,263100,265300,267600,269600,271900,273900,276100,278600,280900,282700,284100,285400,285900,287100,288500,290900,292800,294500,297300,300300,304200,307000,309800,312400,315200,318200,320900,322900,324700
26,"Massachusetts",14,129600,129500,129600,129600,129600,129500,129600,129700,130000,130900,132000,133200,134600,135600,136600,137300,138000,138800,139900,141000,142400,144200,146300,148200,150100,151600,153000,154500,156000,157300,158800,160200,161700,163100,164700,166400,168500,170600,172800,174900,177100,179400,181700,184000,186200,188800,191500,194200,197200,200000,203200,206600,210400,214000,217300,220300,223400,226500,229700,232600,235600,238500,241500,244600,247600,250700,253700,256500,259000,261100,263000,265100,267400,269700,271900,274700,277400,280200,283000,285600,288200,290700,293000,295000,296900,298500,299800,301100,302100,303300,304700,306300,308100,309800,311700,313700,316100,318400,320700,322900,325000,327200,329500,331600,333700,335900,338100,340300,342500,344400,345900,347000,347700,348300,348900,349100,348900,348400,347400,346600,345900,345000,344200,342700,341100,339300,337800,336500,335200,334100,333400,333000,332900,332700,332300,331700,330900,329800,329000,328200,327400,326500,325100,323300,321100,319200,317700,316700,315500,314100,312600,311500,310600,310100,309800,309500,308600,307200,305400,304800,305300,306800,307700,308200,308600,308600,308500,307700,307200,306900,307000,306900,307000,306700,306200,305500,304700,303900,303200,302600,301900,301300,300800,300200,299800,299100,298600,298300,298400,298800,299400,299900,300700,301800,303200,304500,305800,307000,308300,309800,311200,312700,314500,316200,318200,320300,322900,325700,329300,332700,336000,339100,342200,345200,348000,349600,351200,352200,353200,353800,354300,354700,355300,356700,358200,359900,362500,367000,371800,378500,383500,388700,391600,394700,397500,400400,402900,405100,407400
22,"Indiana",15,89500,90100,91400,91800,92000,92500,92900,93300,93500,93900,94000,93900,93800,93400,93500,94300,95700,97000,98100,99300,100300,101100,101700,102100,102900,103200,103200,103300,103500,104000,104400,104600,104800,104800,105000,105200,106000,106600,107100,107600,108000,108200,108200,108300,108500,108500,108400,108400,109000,109600,110100,110600,111000,111500,112100,112900,113400,115400,117300,119300,119800,120100,120300,120500,120800,121000,121300,121600,122000,122100,122200,122400,122500,122500,122400,122100,121700,121300,121300,121300,121400,121000,120800,120600,120900,121200,121700,122100,122700,123200,123600,124100,124500,124800,125000,125300,126000,126700,127500,128400,129300,130100,130600,130900,131300,132100,132900,134000,134500,135100,135400,135700,135900,136100,136500,136900,137100,137000,136800,136400,136100,136000,136100,136200,136500,136700,137100,137300,137800,138200,138800,139100,139600,140000,140300,140400,140500,140600,140600,140600,140500,140700,140700,141000,141200,141500,141500,141300,140900,140400,140000,139600,139000,138500,137800,137300,136800,136400,136000,135600,135400,135400,135400,135200,134600,133800,132700,131600,131100,130700,130600,130400,130200,129900,129700,129600,130000,130300,130600,129900,129100,128200,127400,127000,126500,126100,125500,125300,125200,125800,126200,126400,126400,126400,126500,126800,127100,127500,128000,128600,128800,129200,130100,131600,133500,135300,136800,138100,138900,139500,139900,140500,140800,140900,140800,140100,139000,137100,135300,134200,134100,134300,135000,135500,136200,137100,138200,138900,140300,142200,143800,144900,145400,145500,145200,144800,144500,144100,143600
8,"Arizona",16,90700,91100,91400,91500,91700,92000,92200,92400,92500,92900,93300,93700,94200,94600,94900,95200,95500,95800,96100,96600,97100,97700,98300,98900,99500,99900,100300,100800,101300,101500,101800,102000,102400,102700,103200,103600,104400,104900,105300,105600,106000,106500,107000,107500,108000,108600,109100,109700,110400,110900,111300,111800,112200,112700,113200,113800,114300,114800,115300,115900,116500,117000,117500,117800,118200,118500,118900,119400,119900,120300,120800,121200,121900,122300,122700,123100,123500,124100,124700,125200,125900,126600,127400,128000,128700,129200,130000,130600,131300,132200,133000,133900,134700,135600,136600,137900,139100,140400,141900,143500,145300,147600,150500,153800,157400,161200,165000,169400,174300,179800,185700,192200,198500,204300,209500,213900,217900,221500,224400,226900,228500,229600,230200,230400,230200,229700,229000,228000,227000,226000,225200,224400,223900,223200,222500,221800,220800,219800,218500,217000,215400,213300,210900,208100,205300,202400,199900,197300,194700,192100,189800,187400,185100,182800,180400,177800,175200,172400,169700,167000,164500,162400,160300,158400,156500,154800,153400,151900,150500,148600,146400,144000,141400,138700,136000,133800,132100,130900,130400,130500,130700,130600,129800,129000,128300,128100,128400,129000,129900,131000,132200,133300,134600,136200,137800,139500,141200,142900,144800,146700,148400,149500,150400,151400,152800,155000,157700,160300,162700,164700,164700,164400,163300,163000,162100,161500,161200,160800,160500,160200,160300,160600,161100,161700,162500,163200,163800,164200,164400,164700,165200,165700,166400,167000,168400,169700,171200,172000,172800
